City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Paamiut,GL,61.994,-49.6678,37.33,85,45,11.68,scattered clouds
274,Torbay,CA,47.6666,-52.7314,48.58,97,90,27.63,light rain
275,Merauke,ID,-8.4667,140.3333,78.62,84,68,7.7,broken clouds
276,Turukhansk,RU,65.8167,87.9833,34.39,95,100,11.95,overcast clouds
277,Bambous Virieux,MU,-20.3428,57.7575,74.21,75,16,13.13,few clouds
278,Port Said,EG,31.2565,32.2841,77.85,64,23,11.03,few clouds
279,Vostok,RU,46.4856,135.8833,24.55,87,6,4.68,clear sky
280,Pimentel,PE,-6.8367,-79.9342,70.09,64,0,13.8,clear sky
281,Xining,CN,36.6167,101.7667,39.2,92,99,3.33,overcast clouds
282,Mbuji-Mayi,CD,-6.15,23.6,83.26,55,62,0.69,broken clouds
283,Udachnyy,RU,66.4167,112.4,17.65,84,100,16.06,overcast clouds
284,Ancud,CL,-41.8697,-73.8203,54.93,83,100,10.33,light rain
285,Vadso,NO,70.0744,29.7487,37.11,86,0,9.22,clear sky
286,Kashira,RU,54.8444,38.1669,46.74,73,23,10.2,few clouds
287,Margate,GB,51.3813,1.3862,58.86,59,19,4.0,few clouds
288,Vardo,NO,70.3705,31.1107,37.15,93,0,6.91,clear sky
289,Gorontalo,ID,0.5412,123.0595,77.72,93,90,1.43,overcast clouds
290,Baykit,RU,61.67,96.37,36.63,98,100,10.65,light rain
291,Adelaide,AU,-34.9333,138.6,55.47,72,67,3.0,broken clouds
292,Launceston,AU,-41.45,147.1667,51.15,96,90,0.0,overcast clouds
293,Arlit,NE,18.7369,7.3853,101.3,6,3,10.25,clear sky
294,Khatanga,RU,71.9667,102.5,-0.04,96,95,4.76,overcast clouds
295,Canguaretama,BR,-6.38,-35.1289,88.5,52,57,18.41,broken clouds
296,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,20,10.36,few clouds
297,Nizwa,OM,22.9333,57.5333,86.85,10,0,10.0,clear sky
298,Akdepe,TM,42.0551,59.3788,55.49,20,0,9.91,clear sky
299,Hopelchen,MX,19.7667,-89.85,83.48,52,25,3.11,scattered clouds
300,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,39,12.1,light rain
301,Pocao De Pedras,BR,-4.6667,-44.85,99.34,32,62,5.7,broken clouds
302,Havelock,US,34.8791,-76.9013,79.05,78,15,3.0,few clouds
303,Bethel,US,41.3712,-73.414,74.84,78,74,3.18,broken clouds
304,Terrace,CA,54.5163,-128.6035,39.42,100,90,3.44,mist
305,Manuk Mangkaw,PH,4.8,119.85,84.54,71,96,5.37,overcast clouds
306,Chuy,UY,-33.6971,-53.4616,59.09,73,100,17.09,light rain
307,Cap Malheureux,MU,-19.9842,57.6142,74.46,74,0,5.99,clear sky
308,Mulege,MX,26.8833,-111.9833,73.76,52,0,7.05,clear sky
309,Benghazi,LY,32.1167,20.0667,72.79,54,25,21.88,scattered clouds
310,Marawi,PH,7.9986,124.2928,65.64,90,100,3.2,overcast clouds
311,Kaitangata,NZ,-46.2817,169.8464,45.91,80,99,2.46,overcast clouds
312,Hammerfest,NO,70.6634,23.6821,38.93,80,40,6.91,scattered clouds
313,Gaoual,GN,11.75,-13.2,93.27,49,48,1.74,scattered clouds
314,Teya,RU,60.3778,92.6267,35.08,97,100,11.65,overcast clouds
315,Lavrentiya,RU,65.5833,-171.0,23.2,80,73,10.54,broken clouds
316,Deputatskiy,RU,69.3,139.9,-2.29,100,96,2.86,overcast clouds
317,Gyonk,HU,46.556,18.4769,54.09,49,0,3.62,clear sky
318,Kuytun,RU,54.3419,101.5036,22.66,53,46,6.15,scattered clouds
319,Alyangula,AU,-13.8483,136.4192,81.25,78,82,11.79,broken clouds
320,Adeje,ES,28.1227,-16.726,76.3,59,20,18.41,few clouds
321,Hamilton,US,39.1834,-84.5333,75.58,83,90,1.99,overcast clouds
322,Rincon,US,32.296,-81.2354,80.85,65,20,4.61,few clouds
323,Faanui,PF,-16.4833,-151.75,79.99,75,6,16.67,clear sky
324,Hauterive,FR,46.0901,3.4459,66.96,49,76,4.56,broken clouds
325,Altamont,US,42.2068,-121.7372,33.78,86,1,3.44,clear sky
326,Severobaykalsk,RU,55.65,109.3167,20.48,53,88,3.89,overcast clouds
